ID;URL;Name;NameWithOwner;Stargazers;PullRequests;AcceptedPullRequests;Releases;PrimaryLanguage;createdAt;updatedAt;closedIssues;totalIssues
MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==;https://github.com/practical-tutorials/project-based-learning;project-based-learning;practical-tutorials/project-based-learning;93343;311;179;0;;2017-04-12T05:07:46Z;2022-08-28T05:18:14Z;44;69
MDEwOlJlcG9zaXRvcnkxMzgzOTMxMzk=;https://github.com/trimstray/the-book-of-secret-knowledge;the-book-of-secret-knowledge;trimstray/the-book-of-secret-knowledge;91444;230;122;0;;2018-06-23T10:43:14Z;2022-02-28T20:34:27Z;0;0
MDEwOlJlcG9zaXRvcnk1NzYyMDE=;https://github.com/mrdoob/three.js;three.js;mrdoob/three.js;89540;13837;10544;142;JavaScript;2010-03-23T18:58:01Z;2023-03-04T08:58:42Z;11238;11604
MDEwOlJlcG9zaXRvcnkyMDkyOTAyNQ==;https://github.com/microsoft/TypeScript;TypeScript;microsoft/TypeScript;88982;15818;12690;168;TypeScript;2014-06-17T15:28:39Z;2023-03-04T06:06:27Z;30494;36318
MDEwOlJlcG9zaXRvcnkxMzM0NDIzODQ=;https://github.com/denoland/deno;deno;denoland/deno;88267;9741;7814;215;Rust;2018-05-15T01:34:26Z;2023-03-05T01:37:54Z;6260;7394
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=;https://github.com/microsoft/terminal;terminal;microsoft/terminal;87825;3474;3053;89;C++;2017-08-11T18:38:22Z;2023-03-04T00:57:51Z;9538;11040
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=;https://github.com/microsoft/PowerToys;PowerToys;microsoft/PowerToys;87567;4293;3814;76;C#;2019-05-01T17:44:02Z;2023-03-03T11:35:38Z;15683;20194
MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==;https://github.com/yangshun/tech-interview-handbook;tech-interview-handbook;yangshun/tech-interview-handbook;87065;498;429;0;TypeScript;2016-07-05T05:00:48Z;2023-02-06T00:38:09Z;54;69
MDEwOlJlcG9zaXRvcnkxMDM2MzM5ODQ=;https://github.com/goldbergyoni/nodebestpractices;nodebestpractices;goldbergyoni/nodebestpractices;86829;900;745;0;JavaScript;2017-09-15T08:33:19Z;2023-01-09T22:53:25Z;279;300
MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==;https://github.com/angular/angular;angular;angular/angular;86719;23331;3322;249;TypeScript;2014-09-18T16:12:01Z;2023-03-03T22:03:37Z;23742;24939
MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==;https://github.com/mui/material-ui;material-ui;mui/material-ui;84969;18545;15067;397;JavaScript;2014-08-18T19:11:54Z;2023-03-04T07:50:31Z;15843;17023
MDEwOlJlcG9zaXRvcnkzNDUyNjg4NA==;https://github.com/ant-design/ant-design;ant-design;ant-design/ant-design;84644;13465;10585;563;TypeScript;2015-04-24T15:37:24Z;2023-03-03T06:56:12Z;25098;26006
MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=;https://github.com/huggingface/transformers;transformers;huggingface/transformers;83520;10881;8760;108;Python;2018-10-29T13:56:00Z;2023-03-04T15:45:53Z;10570;10989
MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==;https://github.com/puppeteer/puppeteer;puppeteer;puppeteer/puppeteer;82138;3783;2996;176;TypeScript;2017-05-09T22:16:13Z;2023-03-02T10:23:25Z;5604;5855
MDEwOlJlcG9zaXRvcnk4ODQ2NDcwNA==;https://github.com/PanJiaChen/vue-element-admin;vue-element-admin;PanJiaChen/vue-element-admin;81035;570;313;49;Vue;2017-04-17T03:35:49Z;2022-04-11T03:32:06Z;2333;3510
MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==;https://github.com/ryanmcdermott/clean-code-javascript;clean-code-javascript;ryanmcdermott/clean-code-javascript;80216;269;149;0;JavaScript;2016-11-25T22:25:41Z;2023-02-11T17:28:23Z;81;135
MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==;https://github.com/iluwatar/java-design-patterns;java-design-patterns;iluwatar/java-design-patterns;80109;1614;1069;0;Java;2014-08-09T16:45:18Z;2023-03-03T08:43:43Z;659;845
MDEwOlJlcG9zaXRvcnk3MjQ3MTI=;https://github.com/rust-lang/rust;rust;rust-lang/rust;78489;61072;46103;108;Rust;2010-06-16T20:39:03Z;2023-03-04T22:50:24Z;38599;47416
MDEwOlJlcG9zaXRvcnkxMTE1ODM1OTM=;https://github.com/Genymobile/scrcpy;scrcpy;Genymobile/scrcpy;77463;344;64;29;C;2017-11-21T18:00:27Z;2023-02-06T10:13:18Z;2160;3382
MDEwOlJlcG9zaXRvcnkyNTYxNTgy;https://github.com/animate-css/animate.css;animate.css;animate-css/animate.css;77213;791;313;22;CSS;2011-10-12T10:07:38Z;2022-07-29T14:42:47Z;819;841
MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==;https://github.com/storybookjs/storybook;storybook;storybookjs/storybook;77149;9915;7897;1000;TypeScript;2016-03-18T04:23:44Z;2023-03-05T00:02:47Z;8291;10210
MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=;https://github.com/MisterBooo/LeetCodeAnimation;LeetCodeAnimation;MisterBooo/LeetCodeAnimation;72441;74;63;0;Java;2018-12-06T08:01:22Z;2022-01-12T07:47:38Z;42;58
MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==;https://github.com/tensorflow/models;models;tensorflow/models;75303;3722;2293;29;Jupyter Notebook;2016-02-05T01:15:20Z;2023-03-03T17:34:36Z;6023;7074
MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==;https://github.com/gothinkster/realworld;realworld;gothinkster/realworld;72799;500;320;0;TypeScript;2016-02-26T20:49:53Z;2023-03-04T10:07:41Z;459;509
MDEwOlJlcG9zaXRvcnkxODYzMzI5;https://github.com/laravel/laravel;laravel;laravel/laravel;72675;4476;1491;135;PHP;2011-06-08T03:06:08Z;2023-03-02T16:19:33Z;0;0
MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=;https://github.com/MisterBooo/LeetCodeAnimation;LeetCodeAnimation;MisterBooo/LeetCodeAnimation;72441;74;63;0;Java;2018-12-06T08:01:22Z;2022-01-12T07:47:38Z;42;58
MDEwOlJlcG9zaXRvcnkzNDcwNDcx;https://github.com/FortAwesome/Font-Awesome;Font-Awesome;FortAwesome/Font-Awesome;70997;663;196;50;JavaScript;2012-02-17T14:19:43Z;2023-02-07T19:23:03Z;13448;18752
MDEwOlJlcG9zaXRvcnkxNTIwNDg2MA==;https://github.com/papers-we-love/papers-we-love;papers-we-love;papers-we-love/papers-we-love;70143;495;415;0;Shell;2013-12-15T14:31:41Z;2023-03-04T18:46:56Z;172;191
MDEwOlJlcG9zaXRvcnkxMDEyOTY4ODE=;https://github.com/mtdvio/every-programmer-should-know;every-programmer-should-know;mtdvio/every-programmer-should-know;69736;159;98;0;;2017-08-24T13:18:26Z;2022-11-23T11:06:04Z;18;42
MDEwOlJlcG9zaXRvcnk0MTY0NDgy;https://github.com/django/django;django;django/django;69094;16570;7999;0;Python;2012-04-28T02:47:18Z;2023-03-04T12:09:38Z;0;0
MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==;https://github.com/tonsky/FiraCode;FiraCode;tonsky/FiraCode;69001;177;125;29;Clojure;2014-11-11T19:32:38Z;2023-02-22T15:42:08Z;906;1259
MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=;https://github.com/doocs/advanced-java;advanced-java;doocs/advanced-java;68870;114;75;1;Java;2018-10-06T11:38:30Z;2023-02-03T12:08:57Z;137;139
MDEwOlJlcG9zaXRvcnkxMTgxOTI3;https://github.com/bitcoin/bitcoin;bitcoin;bitcoin/bitcoin;68479;18791;12700;40;C++;2010-12-19T15:16:43Z;2023-03-04T07:17:37Z;6934;7327
MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==;https://github.com/vuejs/awesome-vue;awesome-vue;vuejs/awesome-vue;67919;3741;3384;0;;2015-10-20T00:16:14Z;2023-02-26T13:50:22Z;180;210
MDEwOlJlcG9zaXRvcnkzMTE1MjU3OTg=;https://github.com/microsoft/Web-Dev-For-Beginners;Web-Dev-For-Beginners;microsoft/Web-Dev-For-Beginners;67434;747;439;0;JavaScript;2020-11-10T02:44:00Z;2023-03-03T17:37:46Z;217;226
MDEwOlJlcG9zaXRvcnkzMjQ4NDM4MQ==;https://github.com/ripienaar/free-for-dev;free-for-dev;ripienaar/free-for-dev;67347;2699;2123;0;HTML;2015-03-18T21:06:26Z;2023-03-05T02:10:19Z;0;0
MDEwOlJlcG9zaXRvcnk1MTA4MDUx;https://github.com/opencv/opencv;opencv;opencv/opencv;66920;13690;11027;59;C++;2012-07-19T09:40:17Z;2023-03-01T07:13:22Z;7175;9526
MDEwOlJlcG9zaXRvcnkyMDkwNDQzNw==;https://github.com/gin-gonic/gin;gin;gin-gonic/gin;66913;1513;923;24;Go;2014-06-16T23:57:25Z;2023-03-02T00:12:20Z;1498;1990
MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==;https://github.com/sveltejs/svelte;svelte;sveltejs/svelte;66067;3284;2561;0;TypeScript;2016-11-20T18:13:05Z;2023-03-04T07:18:55Z;4126;4882
MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw;https://github.com/spring-projects/spring-boot;spring-boot;spring-projects/spring-boot;65908;5584;41;163;Java;2012-10-19T15:02:57Z;2023-03-03T22:50:55Z;27987;28554
MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==;https://github.com/typicode/json-server;json-server;typicode/json-server;65808;354;108;12;JavaScript;2013-11-27T13:21:13Z;2023-02-22T21:38:04Z;467;1036
MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==;https://github.com/gohugoio/hugo;hugo;gohugoio/hugo;65699;4281;1910;216;Go;2013-07-04T15:26:26Z;2023-03-04T21:04:01Z;5734;6377
MDEwOlJlcG9zaXRvcnkxMDYwMTczNDM=;https://github.com/tailwindlabs/tailwindcss;tailwindcss;tailwindlabs/tailwindcss;65667;2110;1682;209;HTML;2017-10-06T14:59:14Z;2023-03-03T02:44:15Z;2743;2747
MDEwOlJlcG9zaXRvcnk1ODAyODAzOA==;https://github.com/521xueweihan/HelloGitHub;HelloGitHub;521xueweihan/HelloGitHub;65637;31;14;28;Python;2016-05-04T06:24:11Z;2023-02-28T13:44:05Z;2342;2429
MDEwOlJlcG9zaXRvcnk3NjkxNjMx;https://github.com/moby/moby;moby;moby/moby;65258;23052;18095;120;Go;2013-01-18T18:10:57Z;2023-03-03T15:32:04Z;17812;21782
MDEwOlJlcG9zaXRvcnk2MTIyMzA=;https://github.com/nvm-sh/nvm;nvm;nvm-sh/nvm;65204;1005;674;62;Shell;2010-04-15T17:47:47Z;2023-01-22T10:48:59Z;1601;1919
MDEwOlJlcG9zaXRvcnk0ODM3ODk0Nw==;https://github.com/fatedier/frp;frp;fatedier/frp;64909;640;433;77;Go;2015-12-21T15:24:59Z;2023-02-27T06:44:16Z;2571;2677
MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=;https://github.com/thedaviddias/Front-End-Checklist;Front-End-Checklist;thedaviddias/Front-End-Checklist;64341;292;172;1;;2017-10-16T10:12:36Z;2022-06-03T19:59:48Z;137;143
MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=;https://github.com/macrozheng/mall;mall;macrozheng/mall;63906;105;0;2;Java;2018-04-04T01:11:44Z;2023-03-04T07:30:00Z;428;454
MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==;https://github.com/pytorch/pytorch;pytorch;pytorch/pytorch;63356;64005;5357;43;C++;2016-08-13T05:26:41Z;2023-03-05T02:23:18Z;21396;31814
MDEwOlJlcG9zaXRvcnkxODYxNDU4;https://github.com/hakimel/reveal.js;reveal.js;hakimel/reveal.js;63246;1001;373;39;JavaScript;2011-06-07T18:54:22Z;2023-02-27T01:10:23Z;1574;2210
MDEwOlJlcG9zaXRvcnkxNjQwODk5Mg==;https://github.com/neovim/neovim;neovim;neovim/neovim;63067;13075;9233;31;Vim Script;2014-01-31T13:39:22Z;2023-03-05T01:18:42Z;7990;9368
